year,PPP,forex
1990,5.33455471599593,17.492209
1991,5.86965561036375,22.711647
1992,6.25337059242553,28.155817
1993,6.71106058659744,31.291076
1994,7.22651399457665,31.393855
1995,7.71956518227115,32.418074
1996,8.15500303531741,35.505996
1997,8.53594999423009,36.36451
1998,9.11707929822069,41.356107
1999,9.26308659014515,43.052669
2000,9.3907945238803,44.935123
2001,9.48472603243011,47.15597
2002,9.6839709880955,48.608977
2003,9.87513674194311,46.570637
2004,10.1668162101048,45.126758
2005,10.4139957594598,43.929932
2006,10.9572788007059,45.240779
2007,11.4116482007626,41.489347
2008,12.2230758631024,43.782327
2009,12.98463931346,48.368804
2010,14.1861013143144,45.657748
2011,15.1094346163569,46.459922
2012,16.0013931450176,53.420806
2013,16.6982792399611,58.512332
2014,16.9342477547736,61.00759
2015,17.1370254999952,64.123351
2016,17.4812630969452,67.175856
2017,17.813169063939,65.106705
2018,18.1492825474753,68.408991
